"","gmean","variance","residual_variance"
"AL627309.1",0.00347333003328942,0.00497951546343549,0.12341786980858
"AL627309.5",0.0176512195742093,0.0311511436458213,0.546945956523439
"AP006222.2",0.00505610200317164,0.00722638009418625,0.178911519995765
"LINC01409",0.00854699354740008,0.0121330690060541,0.276566089266357
"LINC01128",0.051127011164291,0.0849041730855408,0.648501131662948
"LINC00115",0.00905098579105391,0.0139297331362051,0.316569961334876
"FAM41C",0.00442269385600746,0.00632887560356039,0.154997157138133
"LINC02593",0.00923705795511309,0.0152824035741285,0.365817696941092
"SAMD11",0.0298895185277481,0.0526080801886539,0.646021381533183
"NOC2L",0.26913407602741,0.57226566298437,1.01134946083189
"KLHL17",0.0520087574642942,0.0816509779240376,0.76069186331179
"PLEKHN1",0.0938645826599565,0.159474424018527,0.93056504393883
"PERM1",0.00968731262756784,0.0148148240100865,0.259048635902584
"AL645608.7",0.0241660908335099,0.036534929227902,0.628062619000419
"HES4",0.37083202559192,0.943423700325362,1.10944822725771
"ISG15",0.437763916987874,2.08147842865127,2.73309295648924
"AGRN",0.328784471322032,1.71220188182155,0.795939643893155
"RNF223",0.019201762198819,0.0310518347118654,0.423688883930952
"C1orf159",0.0701838175597946,0.120822145561242,0.727490705724275
"AL390719.2",0.0208640206687463,0.0354400482310389,0.496295161270058
"TNFRSF18",0.0514583893203087,0.0884064681563837,0.945199316880227
"TNFRSF4",0.0681617333198821,0.143021002598169,1.37908534127218
"SDF4",1.04941334131223,7.37925874984128,0.821916722617324
"B3GALT6",0.135967219863509,0.262216550578659,0.876878520681305
"C1QTNF12",0.00600696325128491,0.00856953342593891,0.2122015090018
"AL162741.1",0.00220890729229084,0.00317457558878819,0.0790201692642126
"UBE2J2",0.377146608625362,1.01367649535462,0.984571931306852
"SCNN1D",0.0728538473728608,0.116252693237599,0.831324769948272
"ACAP3",0.313309441743478,0.755390923411706,1.15936514414693
"PUSL1",0.175780842109682,0.356505831710255,0.761825756423338
"INTS11",0.474735265127493,1.23290965659385,0.955340382785107
"CPTP",0.297473931705365,0.682342168104368,0.959946306592738
"TAS1R3",0.0170339769922723,0.0248744052325877,0.424523064549152
"DVL1",0.487513454018086,1.56207904908387,0.990470860133265
"MXRA8",1.46507204640874,9.49313133896163,1.07476563975366
"AURKAIP1",0.907043844776403,5.29478739819283,0.789070653649504
"CCNL2",0.667995766225862,2.05641285372083,1.10887641419006
"MRPL20-AS1",0.0879867743597054,0.176171979901527,0.736587456348858
"MRPL20",1.29269766861916,6.49892229117301,1.06280455766825
"AL391244.2",0.00568990958961923,0.00812222943591284,0.202004083595848
"ANKRD65",0.171804731744428,0.470352352235551,0.691687510646678
"VWA1",1.2686703867087,9.61189613444108,0.845469011660246
"ATAD3C",0.198186283031509,0.438357496438329,0.915391797477721
"ATAD3B",0.208296521248876,0.444208861584447,1.03839601149557
"ATAD3A",0.11325863580776,0.213412416347741,0.861206934142049
"TMEM240",0.019147173084388,0.0319617528192358,0.689747874777662
"SSU72",1.0092200056179,4.37100493606783,0.894799939337696
"AL645728.1",0.00695872408809906,0.00990896267266823,0.242814330931612
"FNDC10",0.137595445267611,0.263567565867685,0.80383066312524
"AL691432.2",0.0279128730838312,0.0424922239035777,0.544297197987952
"MIB2",0.234933518139875,0.566437469922842,1.1932376775817
"MMP23B",0.140020908113745,0.334120356634933,1.89380859817277
"CDK11B",0.024543844533379,0.0392001327429418,0.659637184911212
"FO704657.1",0.00347333003328942,0.00497951546343549,0.123800659318164
"SLC35E2B",0.104559573431619,0.19904406875323,0.827027315183364
"CDK11A",0.0196018489932672,0.0283220803897544,0.568615841289368
"SLC35E2A",0.10740774910423,0.219161576049333,0.6582490659473
"NADK",0.468311883414237,1.80472677422653,0.842332029717223
"GNB1",0.927437906157243,6.93733233858886,0.757736934129933
"CALML6",0.00157729350896618,0.00226962292811564,0.0568870196395064
"TMEM52",0.0626174061888021,0.103106259317971,0.561979953930309
"GABRD",0.015939775148045,0.0276480210005293,0.538790000234334
"PRKCZ",0.497712231114796,1.22351503144162,1.10680351188999
"PRKCZ-AS1",0.00473934801541631,0.00677783474248573,0.168983124602248
"FAAP20",0.721600573352272,2.0861645689723,1.054979663482
"SKI",0.476856711313144,1.01394049160405,1.29627439677122
"AL590822.3",0.00365837366014698,0.00633963407140561,0.153848385598016
"MORN1",0.0152995078740843,0.0236160782819224,0.43337541363052
"AL513477.2",0.00968731262756784,0.0148148240100865,0.290750996395007
"RER1",0.769781497249879,3.70230905685066,0.7626546786393
"PEX10",0.156603834472776,0.336948178529325,0.768529249523114
"PLCH2",0.012050010110072,0.0169896896637193,0.352897317806058
"PANK4",0.128021612277431,0.235634031682032,0.936584924478608
"HES5",0.00378968489639098,0.00542971596403527,0.134122910257516
"AL139246.5",0.00854699354740008,0.0121330690060541,0.289138150958758
"TNFRSF14-AS1",0.0722986315044436,0.130066565950856,0.797269391561089
"TNFRSF14",0.549715716343762,1.29358617387919,1.37918095915485
"AL139246.3",0.00157729350896618,0.00226962292811564,0.0564368589673446
"PRXL2B",0.211855237407915,0.484260568436066,0.899867853643039
"MMEL1",0.0860468302516428,0.170183237396766,0.626915422097624
"TTC34",0.00220890729229084,0.00317457558878819,0.0796865323937698
"PRDM16-DT",0.0801848752263186,0.164959587470688,0.813293209605783
"PRDM16",0.220860922714124,0.483165687439201,0.915638605524834
"ARHGEF16",0.168529689726825,0.421586700216536,0.841947068555164
"AL512413.1",0.00220890729229084,0.00317457558878819,0.0788308354455437
"MEGF6",0.332877763472117,0.751446289797538,1.18573595403701
"TPRG1L",0.400724890733148,1.02087473791753,0.983932254205829
"WRAP73",0.132761969040346,0.262127586325326,0.689019143925722
"TP73",0.0403302997112191,0.0656572741104506,0.540348109018097
"SMIM1",0.185801861985164,0.651793084870654,0.731379153673974
"LRRC47",0.367121298370235,0.977719213092552,0.903271071157597
"AL365330.1",0.01013776817381,0.0143468306588196,0.313847351842669
"CEP104",0.15641740558164,0.345808604374311,0.939883052691515
"DFFB",0.0284265428666977,0.0442375784178515,0.503906121743223
"C1orf174",0.0905652610646337,0.17577102008068,0.638650251440424
"AJAP1",0.00176198750074685,0.00363222425943466,0.089815284851901
"NPHP4",0.0487292564724928,0.0821872461673991,0.628260442462491
"KCNAB2",0.0541381608997622,0.0830512338928148,0.841810724191872
"RPL22",3.52031315296496,123.649930214785,0.80432606734386
"AL031847.1",0.00505610200317164,0.00722638009418625,0.180178216721307
"RNF207",0.0352567045380368,0.0529097310755447,0.603973791529124
"ICMT",0.461146088050626,1.58056168305471,0.995198495624396
"GPR153",0.0713877741799755,0.128081628633414,0.776413207072499
"ACOT7",0.162569707226692,0.340711987126252,0.945430931491132
"AL031848.2",0.00315707487274586,0.00452890117561088,0.111850792622634
"HES2",0.00289463507735199,0.00634873739035156,0.155323597474272
"ESPN",0.0936888277617398,0.168322850033992,0.788109205117119
"TNFRSF25",0.105908172278334,0.204842469134577,0.954461108481051
"PLEKHG5",0.0822297198825659,0.148925332509069,0.761307729773844
"NOL9",0.226385487293632,0.515105509535517,0.982093412619497
"TAS1R1",0.0190138528508512,0.0297124054651362,0.407351658067292
"ZBTB48",0.15594336049262,0.309974216918022,0.846051628353217
"KLHL21",0.125489659783365,0.265315403105307,0.718651847382377
"PHF13",0.153427692248393,0.271370765353266,1.13475749948055
"THAP3",0.202675708624306,0.408330198895107,0.995432501275568
"DNAJC11",0.247271806974859,0.485546205343568,1.11156786150988
"CAMTA1-DT",0.00650968618812797,0.0103728181516869,0.230802229252685
"CAMTA1",0.403467131962762,1.3692558574685,0.941088600149621
"AL359881.1",0.00252486353365411,0.00362643123828724,0.0898227855621261
"VAMP3",0.306519059577618,1.07904867006717,0.842614889506967
"PER3",0.249767145581952,0.728031725894105,0.845538562104249
"TNFRSF9",0.0138332295780166,0.0205275704358959,0.389065235864735
"PARK7",0.993046600205556,12.4299667190934,0.987450888679267
"AL034417.4",0.00157729350896618,0.00226962292811564,0.0569075730477232
"AL034417.3",0.00537295585074538,0.00767451165866195,0.192334081374462
"ERRFI1",0.562565526009222,2.55787703981584,0.997061982804486
"AL034417.2",0.00777953494619776,0.0121545859417446,0.263114713796894
"SLC45A1",0.00378968489639098,0.00542971596403527,0.136142620198025
"RERE",0.318251804151041,0.745609407204288,1.13804756150715
"ENO1",4.34746102214726,123.978840990259,0.738407898352022
"ENO1-AS1",0.00220890729229084,0.00317457558878819,0.0793070727103933
"SLC2A5",0.00695872408809906,0.00990896267266823,0.239370871356835
"GPR157",0.0638500827835373,0.107689780407258,0.698094121056839
"MIR34AHG",0.0285367181176666,0.0518570563756128,0.60619284096925
"LNCTAM34A",0.0101918747127614,0.0166081778424389,0.33784765627875
"H6PD",0.266019349771731,0.555677346928732,1.09388423092196
