"","MoransI_observed","MoransI_p.value","moransi.spatially.variable","moransi.spatially.variable.rank"
"AC007952.4",0.510273784992034,0,TRUE,1
"HLA-DRB1",0.508174654778167,0,TRUE,2
"COL1A2",0.50477988430191,0,TRUE,3
"SFTPC",0.496013752631922,0,TRUE,4
"MALAT1",0.493012049783256,0,TRUE,5
"COL1A1",0.483137698076436,0,TRUE,6
"SFTPB",0.473598325021177,0,TRUE,7
"SPARC",0.470777362292231,0,TRUE,8
"NAPSA",0.466120597517725,0,TRUE,9
"HLA-DPB1",0.464736130788563,0,TRUE,10
"COL3A1",0.450018934023361,0,TRUE,11
"SCGB3A2",0.431514848443608,0,TRUE,12
"WFDC2",0.419561548269978,0,TRUE,13
"C16orf89",0.414274615611374,0,TRUE,14
"IGKC",0.404461712770737,0,TRUE,15
"RPS21",0.394399108490047,0,TRUE,16
"BGN",0.392639229898406,0,TRUE,17
"IGHA1",0.386513765527542,0,TRUE,18
"FOS",0.38145879483924,0,TRUE,19
"A2M",0.373754122232509,0,TRUE,20
"NPC2",0.371782355154071,0,TRUE,21
"CD74",0.370181589065998,0,TRUE,22
"HLA-DPA1",0.368650979975521,0,TRUE,23
"SCGB3A1",0.361299372202221,0,TRUE,24
"MUC1",0.360876266955477,0,TRUE,25
"LUM",0.360827551934461,0,TRUE,26
"RPL37A",0.353614337532923,0,TRUE,27
"HLA-DRB5",0.351790989027827,0,TRUE,28
"MT-ND1",0.348325823528648,0,TRUE,29
"CTSZ",0.344481763734144,0,TRUE,30
"COL6A2",0.340263046866846,0,TRUE,31
"HLA-DRA",0.339734598498813,0,TRUE,32
"FN1",0.339151071775278,0,TRUE,33
"C7",0.338978988587274,0,TRUE,34
"MGP",0.338641898441021,0,TRUE,35
"RPL10",0.337582055865377,0,TRUE,36
"RNASE1",0.336975665612888,0,TRUE,37
"IGLC3",0.336366443031967,0,TRUE,38
"MT-CO1",0.332085953578271,0,TRUE,39
"SERPINA1",0.331133682778522,0,TRUE,40
"C1S",0.328150226898209,0,TRUE,41
"COL5A1",0.326485620420503,0,TRUE,42
"MMP2",0.326323125528516,0,TRUE,43
"AGER",0.32227577917537,0,TRUE,44
"HSPA1A",0.322098872622214,0,TRUE,45
"IGFBP7",0.321083303707471,0,TRUE,46
"RPL30",0.320592023365791,0,TRUE,47
"RPLP1",0.320286957426822,0,TRUE,48
"IGLC1",0.319725817410511,0,TRUE,49
"SFTA2",0.318231302590193,0,TRUE,50
"MT-CO3",0.312721156435133,0,TRUE,51
"MT2A",0.312586108174643,0,TRUE,52
"RPS18",0.311043349212497,0,TRUE,53
"JCHAIN",0.308801746024125,0,TRUE,54
"RPS23",0.308637474182138,0,TRUE,55
"DCN",0.307284277064498,0,TRUE,56
"COX6C",0.307090604195161,0,TRUE,57
"RPS12",0.304977260223005,0,TRUE,58
"THY1",0.300988094343816,0,TRUE,59
"EPAS1",0.299857053075812,0,TRUE,60
"AZGP1",0.29968125453428,0,TRUE,61
"FOSB",0.298118863887697,0,TRUE,62
"ELF3",0.298045423613851,0,TRUE,63
"RPL11",0.296955987685152,0,TRUE,64
"PIGR",0.296720588563666,0,TRUE,65
"RPS15A",0.296221976273637,0,TRUE,66
"CEACAM6",0.291872598864303,0,TRUE,67
"MT-CO2",0.291168948748659,0,TRUE,68
"EGR1",0.289563483851576,0,TRUE,69
"COL5A2",0.287306339714245,0,TRUE,70
"FTH1",0.286141628180806,0,TRUE,71
"COL6A3",0.285093703347548,0,TRUE,72
"CCDC80",0.282973997633718,0,TRUE,73
"COL4A2",0.281500775753256,0,TRUE,74
"MYL9",0.278577597376616,0,TRUE,75
"FBLN1",0.278354281795889,0,TRUE,76
"HSPA1B",0.277413295170774,0,TRUE,77
"CDH11",0.276893090035075,0,TRUE,78
"SFTPA1",0.269770956091734,0,TRUE,79
"MT-ATP6",0.26792124739429,0,TRUE,80
"MT-ND4",0.267050973130389,0,TRUE,81
"EMILIN1",0.266930754995733,0,TRUE,82
"NEAT1",0.266874409841932,0,TRUE,83
"MT-ND2",0.26600798342412,0,TRUE,84
"ELN",0.265957964916633,0,TRUE,85
"IGHM",0.265630924905214,0,TRUE,86
"S100A6",0.265013675875335,0,TRUE,87
"JUN",0.263106629870144,0,TRUE,88
"UQCRQ",0.262962650526456,0,TRUE,89
"DUSP1",0.262257194578369,0,TRUE,90
"SERPINF1",0.258478163523233,0,TRUE,91
"COL4A1",0.257915684815041,0,TRUE,92
"SFTPA2",0.256767354608328,0,TRUE,93
"RGS5",0.255175106327318,0,TRUE,94
"AEBP1",0.255022326739628,0,TRUE,95
"ECM1",0.252479814411064,0,TRUE,96
"THBS2",0.251123792526857,0,TRUE,97
"C1QA",0.250608521531182,0,TRUE,98
"SLC34A2",0.250239011574583,0,TRUE,99
"IGHG1",0.247517693998014,0,TRUE,100
"CCN2",0.247089672160472,0,TRUE,101
"CTSH",0.246979749774257,0,TRUE,102
"COL14A1",0.241873387180158,0,TRUE,103
"IGHG4",0.241390313438753,0,TRUE,104
"TIMP3",0.237954329920807,0,TRUE,105
"POSTN",0.236927778430018,0,TRUE,106
"IFI27",0.23664859634773,0,TRUE,107
"PABPC1",0.235587169937129,0,TRUE,108
"FAU",0.233582186741742,0,TRUE,109
"RHOB",0.232817692074433,0,TRUE,110
"TIMP1",0.229685579211017,0,TRUE,111
"MT-CYB",0.227745704195764,0,TRUE,112
"INMT",0.224946029881645,0,TRUE,113
"IGLC2",0.224046044258864,0,TRUE,114
"JUNB",0.222822699609928,0,TRUE,115
"COL6A1",0.222312223250497,0,TRUE,116
"LTBP2",0.222219127469091,0,TRUE,117
"DEPP1",0.219932253271356,0,TRUE,118
"ZFP36",0.219803230642141,0,TRUE,119
"FSTL1",0.217225007322099,0,TRUE,120
"IFI6",0.216376363926716,0,TRUE,121
"MXRA5",0.214286971669141,0,TRUE,122
"KLF6",0.213201387919479,0,TRUE,123
"IGFBP5",0.212866404195008,0,TRUE,124
"CLDN4",0.21240326556864,0,TRUE,125
"CD24",0.210554655821588,0,TRUE,126
"MT-ND3",0.207729516387256,0,TRUE,127
"LBH",0.206960280944418,0,TRUE,128
"ADH1B",0.206637555327201,0,TRUE,129
"SOCS3",0.204499032722623,0,TRUE,130
"COL16A1",0.20443193103374,0,TRUE,131
"KRT8",0.204361367881275,0,TRUE,132
"C1R",0.203112437130303,0,TRUE,133
"TAGLN",0.201843550362276,0,TRUE,134
"SNHG9",0.20027485907735,0,TRUE,135
"SERPING1",0.199796595494113,0,TRUE,136
"NID1",0.199708741925887,0,TRUE,137
"PTGDS",0.198213426345583,0,TRUE,138
"RPS15",0.195176343579555,0,TRUE,139
"DMBT1",0.193608562290755,0,TRUE,140
"SUSD2",0.192944683454492,0,TRUE,141
"HPGD",0.192265974906734,0,TRUE,142
"SLPI",0.190843282046421,0,TRUE,143
"CAV1",0.190507153512215,0,TRUE,144
"PGC",0.189834212993788,0,TRUE,145
"CAVIN1",0.185801617075217,0,TRUE,146
"HTRA3",0.185286588802264,0,TRUE,147
"RGCC",0.183808426357998,0,TRUE,148
"CP",0.182761937012008,0,TRUE,149
"LGALS1",0.182105563922106,0,TRUE,150
"TGM2",0.181835690283828,0,TRUE,151
"JUND",0.180726262097491,0,TRUE,152
"AGR2",0.180679327633688,0,TRUE,153
"MOXD1",0.180604985071808,0,TRUE,154
"SPARCL1",0.180535534843532,0,TRUE,155
"CALD1",0.180119912983995,0,TRUE,156
"GPX3",0.179295651337791,0,TRUE,157
"CAVIN2",0.179273335421336,0,TRUE,158
"IGHG3",0.176753101003816,0,TRUE,159
"CXCL14",0.176657683664936,0,TRUE,160
"RARRES2",0.176317917306714,0,TRUE,161
"LCAL1",0.175581100995612,0,TRUE,162
"PDGFRB",0.173056058339632,0,TRUE,163
"SAMHD1",0.172247520699396,0,TRUE,164
"SFRP2",0.171365611729931,0,TRUE,165
"NBL1",0.171306250352594,0,TRUE,166
"RPL17",0.17020827240436,0,TRUE,167
"HBA2",0.169038321956919,0,TRUE,168
"VCAN",0.168844976704568,0,TRUE,169
"NOTCH3",0.168596916993973,0,TRUE,170
"HTRA1",0.168012245587234,0,TRUE,171
"FBN1",0.166839498343422,0,TRUE,172
"ISLR",0.165161293176085,0,TRUE,173
"VWF",0.164658856239411,0,TRUE,174
"COL8A1",0.163772677875856,0,TRUE,175
"LYZ",0.163386812369093,0,TRUE,176
"TUBA1A",0.163161227325284,0,TRUE,177
"IER2",0.162280944025896,0,TRUE,178
"ADIRF",0.161163332942522,0,TRUE,179
"IGHG2",0.158600686872283,0,TRUE,180
"AHNAK",0.158080436555751,0,TRUE,181
"TIMP2",0.157834033449282,0,TRUE,182
"GADD45B",0.157360342568778,0,TRUE,183
"PRELP",0.155861909034534,0,TRUE,184
"FRZB",0.155384409318326,0,TRUE,185
"PECAM1",0.154078806253203,0,TRUE,186
"CCNL1",0.153008515450399,0,TRUE,187
"LFNG",0.15269212934008,0,TRUE,188
"MT1M",0.15268025268821,0,TRUE,189
"VIM",0.15246623079564,0,TRUE,190
"TRIR",0.149181767843745,0,TRUE,191
"AOC3",0.148315453595798,0,TRUE,192
"MFAP2",0.148006349277366,0,TRUE,193
"PCOLCE",0.147225634923601,0,TRUE,194
"MMP14",0.146298848704437,0,TRUE,195
"APOE",0.145840408511979,0,TRUE,196
"C11orf96",0.144841711576243,0,TRUE,197
"LINC00607",0.144801778834576,0,TRUE,198
"FHL1",0.141784751972898,0,TRUE,199
"MT-ND5",0.140810091144132,0,TRUE,200
"SFN",0.140615181579618,0,TRUE,201
"NTHL1",0.13992971247929,0,TRUE,202
"CLDN5",0.139899800105001,0,TRUE,203
"TCF4",0.137843718835471,0,TRUE,204
"ZFP36L2",0.135750906753877,0,TRUE,205
"ACTA2",0.135683821155768,0,TRUE,206
"MARCKS",0.135568201691443,0,TRUE,207
"PLVAP",0.134826215388834,0,TRUE,208
"SSC5D",0.13478548435924,0,TRUE,209
"S100A4",0.132877920948517,0,TRUE,210
"MFAP4",0.131819083561799,0,TRUE,211
"NNMT",0.13092888450136,0,TRUE,212
"ANTXR1",0.130834258598484,0,TRUE,213
"NCOR1",0.130162016657885,0,TRUE,214
"BTG2",0.128721430361303,0,TRUE,215
"ATF3",0.12810220802495,0,TRUE,216
"RGS16",0.127737773097526,0,TRUE,217
"COTL1",0.127513317532943,0,TRUE,218
"PODN",0.127177965411611,0,TRUE,219
"XIST",0.127052295064733,0,TRUE,220
"CPE",0.126116346473891,0,TRUE,221
"KRT7",0.125771785409203,0,TRUE,222
"THBS1",0.125685077814805,0,TRUE,223
"CLEC11A",0.12440125287958,0,TRUE,224
"AL627171.2",0.124237317652248,0,TRUE,225
"AC020916.1",0.124039653651734,0,TRUE,226
"PTMS",0.123942247271858,0,TRUE,227
"SFRP4",0.123603607989109,0,TRUE,228
"NAP1L1",0.1234442535701,0,TRUE,229
"ITGBL1",0.123198720113091,0,TRUE,230
"KLF2",0.123059289736227,0,TRUE,231
"LRP1",0.122352338131413,0,TRUE,232
"SPON1",0.119915029841262,0,TRUE,233
"ACE",0.118579124778557,0,TRUE,234
"CCL19",0.118495164636259,0,TRUE,235
"MFSD2A",0.118277623663751,0,TRUE,236
"COL15A1",0.118124550661091,0,TRUE,237
"PDK4",0.117635571250162,0,TRUE,238
"HLA-DQA1",0.116967327430672,0,TRUE,239
"FAM107A",0.116575441769791,0,TRUE,240
"FBLN2",0.116274645932335,0,TRUE,241
"PLXDC2",0.115861528580459,0,TRUE,242
"TBX2",0.115773581076472,0,TRUE,243
"PMP22",0.115004599452836,0,TRUE,244
"PDGFRA",0.114425883163609,0,TRUE,245
"EMP2",0.114282219305356,0,TRUE,246
"FBLN5",0.113454742115907,0,TRUE,247
"ADAM12",0.111053327505614,0,TRUE,248
"FCN3",0.110940913646124,0,TRUE,249
"FMOD",0.110815813500807,0,TRUE,250
"TMEM119",0.110215940292443,0,TRUE,251
"ZYX",0.109070073511903,0,TRUE,252
"F2R",0.108508267002772,0,TRUE,253
"SYT12",0.107278837603975,0,TRUE,254
"CPXM1",0.106417188379566,0,TRUE,255
"EFEMP2",0.106268682298333,0,TRUE,256
"LOXL1",0.106109769532689,0,TRUE,257
"CLEC14A",0.105937085989455,0,TRUE,258
"CES1",0.105669598446763,0,TRUE,259
"STAB1",0.105629304490705,0,TRUE,260
"ABI3BP",0.105502846077168,0,TRUE,261
"ANXA6",0.105046027876244,0,TRUE,262
"MYLK",0.104323835280205,0,TRUE,263
"ANKRD12",0.103551388216241,0,TRUE,264
"CXCL12",0.10348734469601,0,TRUE,265
"CFH",0.102045171220467,0,TRUE,266
"CILP2",0.101264895278806,0,TRUE,267
"MCAM",0.101124313431699,0,TRUE,268
"ACVRL1",0.100998226021887,0,TRUE,269
"FGG",0.100870833372631,0,TRUE,270
"HBA1",0.100742012223092,0,TRUE,271
"C1QB",0.100488954284683,0,TRUE,272
"EIF4A2",0.0999781130557198,0,TRUE,273
"PTGIS",0.0999193113971761,0,TRUE,274
"SPTBN1",0.0996528352648833,0,TRUE,275
"KCTD12",0.0996246434398592,0,TRUE,276
"ID1",0.0994983137999097,0,TRUE,277
"LTBP4",0.0991015392479271,0,TRUE,278
"MRC2",0.0987434790838524,0,TRUE,279
"NES",0.097095442454791,0,TRUE,280
"RBM25",0.0970377644602954,0,TRUE,281
"RAMP2",0.0965940872488378,0,TRUE,282
"KLF4",0.0965619476856538,0,TRUE,283
"TNS1",0.0963791831971894,0,TRUE,284
"SULF1",0.096216215235089,0,TRUE,285
"EDN1",0.0956122202857459,0,TRUE,286
"TPSB2",0.0954093862772956,0,TRUE,287
"CCL14",0.0951300345271306,0,TRUE,288
"PNISR",0.0949362902030888,0,TRUE,289
"SRGN",0.0948546438426266,0,TRUE,290
"MT1X",0.0945368124423498,0,TRUE,291
"INHBA",0.0943098576158393,0,TRUE,292
"CD93",0.0941549265388316,0,TRUE,293
"CFD",0.0940656445989298,0,TRUE,294
"LSP1",0.0940253569848045,0,TRUE,295
"MMP23B",0.0937754349500607,0,TRUE,296
"CYBRD1",0.0933477383833976,0,TRUE,297
"SLCO2B1",0.0930515205296366,0,TRUE,298
"ITGB5",0.0923767373511723,0,TRUE,299
"MAF",0.0918069496488157,0,TRUE,300
"CLIC4",0.0917130124324517,0,TRUE,301
"PRRC2C",0.0915627935834815,0,TRUE,302
"TACC1",0.0915496431211818,0,TRUE,303
"EVA1B",0.0913858381641616,0,TRUE,304
"SRSF7",0.0911900230290036,0,TRUE,305
"GNG11",0.0906110275286985,0,TRUE,306
"ITGA1",0.0904505653416726,0,TRUE,307
"MSLN",0.0901730791637222,0,TRUE,308
"CRIP2",0.0899614933781404,0,TRUE,309
"CDH5",0.0896304611859257,0,TRUE,310
"TMEM176B",0.0892232819033102,0,TRUE,311
"PALM2-AKAP2",0.0887745115735828,0,TRUE,312
"HBB",0.0886382323896643,0,TRUE,313
"RAMP3",0.0885768504532123,0,TRUE,314
"ISG15",0.0885619459346735,0,TRUE,315
"CLDN2",0.088504957102505,0,TRUE,316
"WARS",0.0880680738257765,0,TRUE,317
"COL10A1",0.087981285922078,0,TRUE,318
"VCAM1",0.0873488175936705,0,TRUE,319
"CD55",0.0871805286408021,0,TRUE,320
"DPT",0.0863923592474583,0,TRUE,321
"SOD3",0.0863528760230419,0,TRUE,322
"SERPINE1",0.0863024394804986,0,TRUE,323
"ADAMTS16",0.0858588665433765,0,TRUE,324
"COMP",0.0857730602379964,0,TRUE,325
"LCP1",0.0857129844429305,0,TRUE,326
"SULF2",0.0856223538422312,0,TRUE,327
"TYMP",0.085568999870926,0,TRUE,328
"ATP1B3",0.0852998671387555,0,TRUE,329
"SLIT3",0.0851140279137161,0,TRUE,330
"CYP1B1",0.0848611038873962,0,TRUE,331
"TMEM204",0.0844751468164712,0,TRUE,332
"CTHRC1",0.0844158550044424,0,TRUE,333
"TFPI",0.0838345849849204,0,TRUE,334
"LOX",0.0836556242559316,0,TRUE,335
"TMEM100",0.0834991983677967,0,TRUE,336
"HEG1",0.0834963545060288,0,TRUE,337
"CCN1",0.0831797698691313,0,TRUE,338
"TYROBP",0.0828456095627454,0,TRUE,339
"PGGHG",0.0828260098750624,0,TRUE,340
"LUC7L3",0.0827921381895954,0,TRUE,341
"ENG",0.0825415677388435,0,TRUE,342
"LAMB1",0.0825088697044431,0,TRUE,343
"ADGRL2",0.082295311768425,0,TRUE,344
"LAPTM5",0.0821694594244991,0,TRUE,345
"SCGB1A1",0.0820881063415908,0,TRUE,346
"LTB",0.0818502444128563,0,TRUE,347
"PABPN1",0.0816538031195161,0,TRUE,348
"ZNF217",0.0814686218705403,0,TRUE,349
"SPOCK2",0.0811673630838202,0,TRUE,350
"IGF1",0.0804329589465189,0,TRUE,351
"AQP4",0.080393090721183,0,TRUE,352
"CLDN18",0.0796481780875902,0,TRUE,353
"FKBP10",0.0795874786941172,0,TRUE,354
"IGLC7",0.0795071244579607,0,TRUE,355
"TRIB1",0.079145909077269,0,TRUE,356
"MYH11",0.0789414559668343,0,TRUE,357
"UACA",0.0773632746164229,0,TRUE,358
"CRISPLD2",0.0772920770638452,0,TRUE,359
"LTBP1",0.0769259613661773,0,TRUE,360
"RBM47",0.0768638903893096,0,TRUE,361
"NKD2",0.0767855351000946,0,TRUE,362
"MT-ND4L",0.0764789557781763,0,TRUE,363
"CHRDL1",0.0764502763588837,0,TRUE,364
"TPM2",0.0761807190521041,0,TRUE,365
"PALLD",0.0761695398517815,0,TRUE,366
"ARGLU1",0.0761349829969739,0,TRUE,367
"TMEM47",0.0760764492796424,0,TRUE,368
"ITGAV",0.0759414021297518,0,TRUE,369
"TRAC",0.0757964059619413,0,TRUE,370
"CSPG4",0.0755717261075126,0,TRUE,371
"OGN",0.0753881574910147,0,TRUE,372
"MRC1",0.0752336721349261,0,TRUE,373
"TRBC2",0.0750871477863947,0,TRUE,374
"RRAD",0.0748784975384695,0,TRUE,375
"CCL18",0.074712024434859,0,TRUE,376
"PLSCR4",0.0745742904416931,0,TRUE,377
"CXCL2",0.0744594400158332,0,TRUE,378
"ENPP2",0.0743211301216947,0,TRUE,379
"NR4A1",0.0741364995641839,0,TRUE,380
"CD99",0.0741202368133563,0,TRUE,381
"LIMCH1",0.0739421180876857,0,TRUE,382
"COX7A1",0.0737557006659531,0,TRUE,383
"CDKN1A",0.0737438434384708,0,TRUE,384
"DST",0.0737002460477291,0,TRUE,385
"SPRY1",0.0736907641119904,0,TRUE,386
"ZBTB16",0.073302397204693,0,TRUE,387
"MT-ATP8",0.0732912337875605,0,TRUE,388
"KLF9",0.0732858489577011,0,TRUE,389
"EIF5B",0.0732239628230472,0,TRUE,390
"OLFML2B",0.0731151248192007,0,TRUE,391
"TNFRSF1A",0.0727315057398364,0,TRUE,392
"FMO2",0.0725682577552111,0,TRUE,393
"CCDC85B",0.0725337709560904,0,TRUE,394
"CXCR4",0.0724462916411829,0,TRUE,395
"ZDHHC3",0.0723181930838663,0,TRUE,396
"FNDC1",0.0722510833960729,0,TRUE,397
"PIEZO2",0.0722050717918564,0,TRUE,398
"CCL2",0.0720711765380577,0,TRUE,399
"KCNK6",0.0717309884937882,0,TRUE,400
"NR2F1",0.0715480680827226,0,TRUE,401
"SERPINE2",0.0713908470093083,0,TRUE,402
"CCL21",0.0708857459817159,0,TRUE,403
"CAMK2N1",0.070813165497114,0,TRUE,404
"NFIB",0.0704016526949848,0,TRUE,405
"IFI30",0.0702731883654807,0,TRUE,406
"TGFB3",0.070098271842166,0,TRUE,407
"CYGB",0.0700512193210393,0,TRUE,408
"STAT2",0.0699869514505232,0,TRUE,409
"GGT5",0.0698442698470833,0,TRUE,410
"GJA5",0.069623893230374,0,TRUE,411
"ETS1",0.0695466878539511,0,TRUE,412
"PAPLN",0.0693409329846888,0,TRUE,413
"PTPRA",0.0689420448968057,0,TRUE,414
"ADGRA2",0.0687709410855482,0,TRUE,415
"ACKR1",0.0685709342714259,0,TRUE,416
"IFITM2",0.0683529272434841,0,TRUE,417
"ITM2A",0.0678202538388254,0,TRUE,418
"FAP",0.0676998165562794,0,TRUE,419
"MMP9",0.0676297578771555,0,TRUE,420
"TPM1",0.0675698016389132,0,TRUE,421
"ANKRD36C",0.0674375492550841,0,TRUE,422
"RIOK3",0.0673552239762857,0,TRUE,423
"PRSS23",0.0673039859600054,0,TRUE,424
"IL7R",0.0671259954985832,0,TRUE,425
"ZEB2",0.067072271977745,0,TRUE,426
"FXYD6",0.067027715414942,0,TRUE,427
"OLFML2A",0.0669199479016437,0,TRUE,428
"EMP1",0.0666173356869855,0,TRUE,429
"PXDN",0.0665310349528841,0,TRUE,430
"SRPX",0.0665214080474268,0,TRUE,431
"GDF10",0.0664987112661417,0,TRUE,432
"CXCL10",0.0661486409785722,0,TRUE,433
"FKBP5",0.0661257980572633,0,TRUE,434
"PKIG",0.0659967480051261,0,TRUE,435
"NPNT",0.0659684376300998,0,TRUE,436
"PLAC9",0.0657505935968022,0,TRUE,437
"STOM",0.0656893438548265,0,TRUE,438
"PLK3",0.0654197690667671,0,TRUE,439
"PPP1R14A",0.0650617285409005,0,TRUE,440
"BTG1",0.0650262168385914,0,TRUE,441
"MX2",0.0649331639085111,0,TRUE,442
"LTF",0.0645942253149364,0,TRUE,443
"CSRNP1",0.0644635994663071,0,TRUE,444
"ITGA5",0.0639444528568312,0,TRUE,445
"CAV2",0.0638849835719637,0,TRUE,446
"AIF1",0.063851997861456,0,TRUE,447
"C1QC",0.0637664267864125,0,TRUE,448
"SCN7A",0.0636984124316071,0,TRUE,449
"CTSF",0.0636745206688718,0,TRUE,450
"FLT1",0.0636741417523851,0,TRUE,451
"TPPP3",0.0635665120801042,0,TRUE,452
"FCER1G",0.0635136255546294,0,TRUE,453
"SPP1",0.0634643758320702,0,TRUE,454
"EGFL7",0.0634285016689325,0,TRUE,455
"GOLGA4",0.06342228879938,0,TRUE,456
"SLC2A3",0.0634062336620228,0,TRUE,457
"TCF21",0.0631447883147263,0,TRUE,458
"EDNRB",0.0631438979389658,0,TRUE,459
"SRSF11",0.062766181171146,0,TRUE,460
"ITGA8",0.0623537878060872,0,TRUE,461
"GRASP",0.0622246760309663,0,TRUE,462
"GPX8",0.0617308178679901,0,TRUE,463
"METTL7A",0.0616891871632699,0,TRUE,464
"MXRA7",0.0615239593521828,0,TRUE,465
"CYP4B1",0.0614157088834402,0,TRUE,466
"SLC38A2",0.0614065029244779,0,TRUE,467
"LAMA2",0.0612628590941117,0,TRUE,468
"GBP4",0.0612155553708825,0,TRUE,469
"IDO1",0.0608341856888716,0,TRUE,470
"KLF10",0.0607644622657087,0,TRUE,471
"CTSK",0.060136180723016,0,TRUE,472
"ADAMTS2",0.0599947957119565,0,TRUE,473
"FCGR3A",0.059421607171354,0,TRUE,474
"ENTPD1",0.0593968277254973,0,TRUE,475
"FCN1",0.0592981629765204,0,TRUE,476
"ITGA9",0.0588958479696525,0,TRUE,477
"FYB1",0.058837079022668,0,TRUE,478
"ALDH3B1",0.0588075717195451,0,TRUE,479
"VSTM2L",0.0587741353000686,0,TRUE,480
"MZB1",0.0585474689576723,0,TRUE,481
"P3H3",0.0584918181958867,0,TRUE,482
"PRRX1",0.0583904564086346,0,TRUE,483
"TERF2IP",0.0583535535632931,0,TRUE,484
"HTATSF1",0.0582557988409757,0,TRUE,485
"AKAP9",0.058233455801133,0,TRUE,486
"CCDC88A",0.0581594968127479,0,TRUE,487
"NEXN",0.0579839540013484,0,TRUE,488
"GJC1",0.0574646750208694,0,TRUE,489
"MEIS1",0.057452412853809,0,TRUE,490
"LIMS2",0.0574382838283864,0,TRUE,491
"CPVL",0.0569975888014641,0,TRUE,492
"CALCRL",0.0568274076898594,0,TRUE,493
"MAP1B",0.05678799232507,0,TRUE,494
"FDCSP",0.0567676928779768,0,TRUE,495
"SMC4",0.0565080482679792,0,TRUE,496
"CCL22",0.0564646948132845,0,TRUE,497
"ID2",0.0563735056483183,0,TRUE,498
"CD6",0.0562916830820791,0,TRUE,499
"BCL6",0.0559668408442367,0,TRUE,500
"RUNX1T1",0.0559651087166339,0,TRUE,501
"SLIT2",0.0559041120263025,0,TRUE,502
"ITGB1",0.0556819760258792,0,TRUE,503
"NR2F2",0.055649417431629,0,TRUE,504
"GASK1B",0.0555760219673576,0,TRUE,505
"HEYL",0.0554880162462668,0,TRUE,506
"ECM2",0.0552335713476715,0,TRUE,507
"COX4I2",0.0551623979310607,0,TRUE,508
"FAAP100",0.0550835266946373,0,TRUE,509
"MFGE8",0.0549722301590898,0,TRUE,510
"SYNPO2",0.0548568322527993,0,TRUE,511
"MYH10",0.054652478006131,0,TRUE,512
"CD68",0.054611766025441,0,TRUE,513
"PLPP1",0.0545233595768908,0,TRUE,514
"CXCL9",0.0544522274249131,0,TRUE,515
"DIPK2B",0.0543623777459722,0,TRUE,516
"GUCY1A2",0.0543328004836942,0,TRUE,517
"EMCN",0.0538753746440428,0,TRUE,518
"PTPRC",0.0537942370308709,0,TRUE,519
"SLC25A24",0.0532506883915713,0,TRUE,520
"INAFM1",0.0531603616001116,0,TRUE,521
"SLCO2A1",0.0530867935652302,0,TRUE,522
"WIPF1",0.0530658026628562,0,TRUE,523
